,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,zipcode,district,grades,grade_num,total_sch,total_student,propcrime_percapita,violcrime_percapita,total_crime_percapita
0,538000.0,3.0,2.25,7242.0,2.0,0.0,3.0,7.0,2170.0,400.0,98125.0,0.0,0.0,0.0,0.0,0.0,23.132246335198694,27.758695602238436,50.890941937437134
1,180000.0,2.0,1.0,10000.0,1.0,0.0,3.0,6.0,770.0,0.0,98028.0,0.0,0.0,0.0,0.0,0.0,29.999052887044567,12.856736951590529,42.8557898386351
2,604000.0,4.0,3.0,5000.0,1.0,0.0,5.0,7.0,1050.0,910.0,98136.0,0.0,0.0,0.0,0.0,0.0,6.126509104697077,6.126509104697077,12.253018209394154
3,510000.0,3.0,2.0,8080.0,1.0,0.0,3.0,8.0,1680.0,0.0,98074.0,0.0,0.0,0.0,0.0,0.0,34.277996056247986,10.283398816874401,44.56139487312239
4,1230000.0,4.0,4.5,101930.0,1.0,0.0,3.0,11.0,3890.0,1530.0,98053.0,0.0,0.0,0.0,0.0,0.0,516.4919935656775,220.0705016062452,736.5624951719227
5,257500.0,3.0,2.25,6819.0,2.0,0.0,3.0,7.0,1715.0,0.0,98003.0,0.0,0.0,0.0,0.0,0.0,122.3728455859312,70.21392779520643,192.58677338113762
6,291850.0,3.0,1.5,9711.0,1.0,0.0,3.0,7.0,1060.0,0.0,98198.0,0.0,0.0,0.0,0.0,0.0,26.59749261713449,37.23648966398829,63.83398228112277
7,229500.0,3.0,1.0,7470.0,1.0,0.0,3.0,7.0,1050.0,730.0,98146.0,0.0,0.0,0.0,0.0,0.0,1633.8459198023832,549.1632423552895,2183.0091621576726
8,323000.0,3.0,2.5,6560.0,2.0,0.0,3.0,7.0,1890.0,0.0,98038.0,0.0,0.0,0.0,0.0,0.0,257.41397001283934,123.11102913657534,380.52499914941467
9,468000.0,2.0,1.0,6000.0,1.0,0.0,4.0,7.0,860.0,300.0,98115.0,0.0,0.0,0.0,0.0,0.0,3.6982479661207934,7.396495932241589,11.094743898362381
10,310000.0,3.0,1.0,19901.0,1.5,0.0,4.0,7.0,1430.0,0.0,98028.0,0.0,0.0,0.0,0.0,0.0,29.999052887044567,12.856736951590529,42.8557898386351
11,400000.0,3.0,1.75,9680.0,1.0,0.0,4.0,7.0,1370.0,0.0,98074.0,0.0,0.0,0.0,0.0,0.0,34.277996056247986,10.283398816874401,44.56139487312239
12,530000.0,5.0,2.0,4850.0,1.5,0.0,3.0,7.0,1810.0,0.0,98107.0,0.0,0.0,0.0,0.0,0.0,0.0,13.470219499920795,13.470219499920795
13,650000.0,4.0,3.0,5000.0,2.0,0.0,3.0,9.0,1980.0,970.0,98126.0,0.0,0.0,0.0,0.0,0.0,211.4556382241143,99.50853563487732,310.9641738589916
14,395000.0,3.0,2.0,14040.0,2.0,0.0,3.0,7.0,1890.0,0.0,98019.0,0.0,0.0,0.0,0.0,0.0,234.76854088599381,80.95466927103234,315.7232101570262
15,485000.0,4.0,1.0,4300.0,1.5,0.0,4.0,7.0,1600.0,0.0,98103.0,0.0,0.0,0.0,0.0,0.0,7.368066028186903,29.472264112747613,36.84033014093452
16,189000.0,2.0,1.0,9850.0,1.0,0.0,4.0,7.0,1200.0,0.0,98002.0,0.0,0.0,0.0,0.0,0.0,31.29479423046897,14.224906468394988,45.51970069886396
17,230000.0,3.0,1.0,9774.0,1.0,0.0,4.0,7.0,1250.0,0.0,98003.0,0.0,0.0,0.0,0.0,0.0,122.3728455859312,70.21392779520643,192.58677338113762
18,385000.0,4.0,1.75,4980.0,1.0,0.0,4.0,7.0,860.0,760.0,98133.0,0.0,0.0,0.0,0.0,0.0,30.14211343357435,54.25580418043383,84.39791761400818
19,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,285000.0,5.0,2.5,6300.0,2.0,0.0,3.0,8.0,2270.0,0.0,98092.0,0.0,0.0,0.0,0.0,0.0,215.23883705263447,59.644497014585475,274.88333406721995
21,329000.0,3.0,2.25,6500.0,2.0,0.0,4.0,8.0,2450.0,0.0,98030.0,0.0,0.0,0.0,0.0,0.0,8.129690018171482,8.129690018171482,16.259380036342964
22,233000.0,3.0,2.0,4697.0,1.5,0.0,5.0,6.0,1710.0,0.0,98002.0,0.0,0.0,0.0,0.0,0.0,31.29479423046897,14.224906468394988,45.51970069886396
23,937000.0,3.0,1.75,2691.0,2.0,0.0,3.0,8.0,1750.0,700.0,98119.0,0.0,0.0,0.0,0.0,0.0,11.318552938098268,18.86425489683045,30.182807834928717
24,667000.0,3.0,1.0,1581.0,1.5,0.0,5.0,8.0,1400.0,0.0,98112.0,0.0,0.0,0.0,0.0,0.0,4.1572655303280195,16.629062121312078,20.786327651640097
25,438000.0,3.0,1.75,6380.0,1.0,0.0,3.0,7.0,790.0,730.0,98115.0,0.0,0.0,0.0,0.0,0.0,3.6982479661207934,7.396495932241589,11.094743898362381
26,719000.0,4.0,2.5,7173.0,2.0,0.0,3.0,8.0,2570.0,0.0,98052.0,0.0,0.0,0.0,0.0,0.0,77.13147242154055,17.59138844701802,94.72286086855857
27,580500.0,3.0,2.5,3980.0,2.0,0.0,3.0,8.0,2320.0,0.0,98027.0,0.0,0.0,0.0,0.0,0.0,318.2653854952511,54.65163185271989,372.917017347971
28,280000.0,2.0,1.5,1265.0,3.0,0.0,3.0,7.0,1190.0,0.0,98133.0,0.0,0.0,0.0,0.0,0.0,30.14211343357435,54.25580418043383,84.39791761400818
29,687500.0,4.0,1.75,5000.0,1.5,0.0,4.0,7.0,1510.0,820.0,98117.0,0.0,0.0,0.0,0.0,0.0,8.647461250942321,11.52994833458976,20.177409585532082
30,535000.0,3.0,1.0,3000.0,1.5,0.0,4.0,8.0,1090.0,0.0,98117.0,0.0,0.0,0.0,0.0,0.0,8.647461250942321,11.52994833458976,20.177409585532082
31,322500.0,4.0,2.75,6659.0,1.0,0.0,3.0,7.0,1280.0,780.0,98058.0,0.0,0.0,0.0,0.0,0.0,789.7351246089206,188.0321725259335,977.7672971348541
32,696000.0,3.0,2.5,3060.0,1.5,0.0,3.0,8.0,1510.0,790.0,98115.0,0.0,0.0,0.0,0.0,0.0,3.6982479661207934,7.396495932241589,11.094743898362381
33,550000.0,4.0,1.0,34848.0,1.0,0.0,1.0,5.0,930.0,730.0,98052.0,0.0,0.0,0.0,0.0,0.0,77.13147242154055,17.59138844701802,94.72286086855857
34,640000.0,4.0,2.0,6000.0,2.0,0.0,4.0,8.0,2360.0,0.0,98107.0,0.0,0.0,0.0,0.0,0.0,0.0,13.470219499920795,13.470219499920795
