X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.1583348,47.57354372,35,189,96,661,Tyee Middle School,Tyee,13630 SE Allen Rd,98006,-122.1583367,47.57354158,10,BELLEVUE,1524059005,152405,9005,School-Junior High/Middle,3283
-122.1956915,47.72481247,36,504,165571,660,Helen Keller Elementary School,Helen Keller,13820 108th Ave NE,98034,-122.1956927,47.72481045,10,LAKE WASHINGTON,2026059105,202605,9105,School-Elementary,0
-122.3319773,47.47807431,37,1278,151,662,John F. Kennedy Catholic High School,John F. Kennedy,140 S 140th St,98168,-122.3319797,47.47807247,20,HIGHLINE,1723049528,172304,9528,School-High,0
-122.326753,47.7327026,38,1090,250279,662,Lakeside High School,Lakeside High,14050 1st Ave NE,98125,-122.3267542,47.73270082,20,SEATTLE,2832100190,283210,190,School-High,0
-122.1517856,47.56292098,39,185,99,660,Somerset Elementary School,Somerset,14100 Somerset Blvd SE,98006,-122.1517875,47.56291882,10,BELLEVUE,1524059091,152405,9091,School-Elementary,3789
-122.164941,47.72730338,40,509,21187,661,Kamiakin Middle School,Kamiakin,14111 132nd Ave NE,98034,-122.1649421,47.72730131,10,LAKE WASHINGTON,2126059123,212605,9123,School-Junior High/Middle,3922
-121.9921508,47.20436448,41,6600670,393851,663,Green River College - Enumclaw Campus,GRC,1414 Griffin Ave,98022,-121.9921531,47.2043628,10,ENUMCLAW,2420069046,242006,9046,School-College or University,0
-122.1415518,47.4533692,42,727,597271,660,Fairwood Elementary School,Fairwood,16600 148th Ave SE,98058,-122.1415542,47.45336699,10,KENT,2623059007,262305,9007,School-Elementary,3678
-122.1179286,47.63949149,43,211,63,660,Ardmore Elementary School,Ardmore,16616 NE 32nd St,98008,-122.1179302,47.6394893,10,BELLEVUE,2425059033,242505,9033,School-Elementary,3633
-122.1113642,47.45259734,44,733,602982,660,Maple Valley Christian Elementary School,Maple Valley Christian,16700 174th Ave SE,98058,-122.1113666,47.45259506,20,KENT,2523059050,252305,9050,School-Elementary,0
-122.1164869,47.67543992,45,635,12151,660,Redmond Elementary School,Redmond,16800 NE 80th St,98052,-122.1164883,47.67543775,10,LAKE WASHINGTON,125059048,12505,9048,School-Elementary,2289
-122.1685477,47.45148632,46,740,898496,660,Renton Park Elementary School,Renton Park,16828 128th Ave SE,98058,-122.1685501,47.45148418,10,RENTON,2823059084,282305,9084,School-Elementary,3521
-122.3092854,47.61337382,47,6600227,447450,664,Seattle World School,Seattle World,1700 E Union St,98122,-122.3092871,47.61337197,10,SEATTLE,7234600635,723460,635,School-Alternative,0
-122.1974923,47.51743064,48,704,892489,660,Kennydale Elementary School,Kennydale,1700 NE 28th St,98056,-122.1974944,47.51742857,10,RENTON,3342103310,334210,3310,School-Elementary,2597
-122.1131979,47.69173067,49,617,12147,660,Horace Mann Elementary School,Horace Mann,17001 NE 104th St,98052,-122.1131991,47.6917285,10,LAKE WASHINGTON,3626059017,362605,9017,School-Elementary,0
-122.1140741,47.43651314,50,6600248,12202,661,Northwood Middle School,Northwood,17007 SE 184th St,98058,-122.1140766,47.43651088,10,KENT,3623059009,362305,9009,School-Junior High/Middle,4485
-122.3066113,47.58824794,51,6600715,1132055,664,Hamlin Robinson School,HRS,1701 20th Ave S,98144,-122.3066131,47.58824609,20,SEATTLE,7548300835,754830,835,School-Alternative,
-122.1154265,47.48352367,52,746,573184,660,Briarwood Elementary School,Briarwood,17020 SE 134th St,98059,-122.1154288,47.4835214,10,ISSAQUAH,1323059026,132305,9026,School-Elementary,3440
-122.1139338,47.35385579,53,562,663186,660,Covington Elementary School,Covington,17070 SE Wax Rd,98042,-122.1139368,47.35385353,10,KENT,3622059081,362205,9081,School-Elementary,3388
-122.1517471,47.75231727,54,790,21198,666,Bellevue Christian School,Bellevue Christian,17110 140th Ave NE,98072,-122.1517481,47.7523152,20,NORTHSHORE,1026059076,102605,9076,School-K-12,0
-122.139798,47.75199682,55,801,202643,660,Hollywood Hill Elementary School,Hollywood Hill,17110 148th Ave NE,98072,-122.139799,47.75199473,10,NORTHSHORE,1126059032,112605,9032,School-Elementary,4124
-122.0530702,47.62559631,56,655,12222,660,Margaret Mead Elementary School,Margaret Mead,1725 216th Ave NE,98074,-122.0530718,47.62559398,10,LAKE WASHINGTON,2825069055,282506,9055,School-Elementary,4096
-122.1064171,47.69492137,57,632,568136,662,Redmond High School,Redmond High,17272 NE 104th St,98052,-122.1064183,47.69491919,10,LAKE WASHINGTON,3626059014,362605,9014,School-High,3528
-122.350197,47.75469945,58,1156,16155,662,Shorewood High School,Shorewood,17300 Fremont Ave N,98133,-122.3501981,47.75469775,10,SHORELINE,726049134,72604,9134,School-High,3921
-122.3536516,47.75672643,59,1157,184012,660,St. Luke School,St. Luke,17533 Saint Luke Pl N,98133,-122.3536527,47.75672475,20,SHORELINE,6190700150,619070,150,School-Elementary,0
-122.3229288,47.4410722,60,6600614,144,664,Puget Sound Skills Center,Skills Center,18010 8th Ave S,98148,-122.3229313,47.44107035,10,HIGHLINE,3223049284,322304,9284,School-Alternative,0
-122.098172,47.70222697,61,6600123,12141,660,Albert Einstein Elementary School,Albert Einstein,18025 NE 116th St  ,98052,-122.0981732,47.70222479,10,LAKE WASHINGTON,3126069130,312606,9130,School-Elementary,0
-122.1221842,47.44042714,62,742,595133,660,Ridgewood Elementary School,Ridgewood,18030 162nd Pl SE,98058,-122.1221867,47.44042489,10,KENT,3523059030,352305,9030,School-Elementary,4293
-122.3138521,47.76089658,63,1239,16162,660,St. Mark Parish School,St. Mark,18033 15th Pl NE,98155,-122.3138532,47.76089483,20,SHORELINE,6163900550,616390,550,School-Elementary,0
-122.3805118,47.67689033,64,6600216,321810,664,Salmon Bay K-8 School ,Salmon Bay,1810 NW 65th St,98117,-122.3805132,47.67688863,10,SEATTLE,7518503620,751850,3620,School-Alternative,1796
-122.336526,47.74077828,65,1153,16150,660,Parkwood Elementary School,Parkwood,1815 N 155th St,98133,-122.3365271,47.74077652,10,SHORELINE,1826049062,182604,9062,School-Elementary,3489
-122.3379051,47.72623298,66,1138,12274,662,Edward S. Ingraham High School,Ingraham,1819 N 135th St,98133,-122.3379064,47.72623122,10,SEATTLE,1926049321,192604,9321,School-High,3276
-122.02883,47.3576683,67,580,1228969,662,Tahoma High School,Tahoma High,23499 SE Tahoma Way,98038,-122.028833,47.35766584,10,TAHOMA,3422069114,342206,9114,School-High,0
-122.1914452,47.75977301,68,2142,174096,663,Cascadia College,Cascadia,18225 Campus Way NE,98011,-122.1914462,47.75977103,10,NORTHSHORE,526059057,52605,9057,School-College or University,0
-122.15711,47.43802331,69,720,599695,660,Carriage Crest Elementary School,Carriage Crest,18235 140th Ave SE,98058,-122.1571126,47.43802114,10,KENT,3423059023,342305,9023,School-Elementary,4353
-122.2824834,47.43915856,70,1317,12230,660,Bow Lake Elementary School,Bow Lake,18237 42nd Ave S,98188,-122.282486,47.43915666,10,HIGHLINE,3423049094,342304,9094,School-Elementary,2982
-122.2178068,47.29220155,71,61,707806,661,Olympic Middle School,Olympic,1825 K St SE,98002,-122.2178102,47.29219953,10,AUBURN,1921059192,192105,9192,School-Junior High/Middle,3169
-122.273694,47.43845616,72,1331,400677,666,Seattle Christian School,Seattle Christian,18301 Military Rd S,98188,-122.2736966,47.43845425,20,HIGHLINE,3423049030,342304,9030,School-K-12,0
-122.273694,47.43845616,73,6600252,400677,660,Seattle Christian Elementary School,Seattle Christian,18301 Military Rd S,98188,-122.2736966,47.43845425,20,HIGHLINE,3423049030,342304,9030,School-Elementary,0
-122.3250815,47.43762737,74,6600615,755385,664,Choice Academy,Choice Academy,18367 8th Ave S,98148,-122.3250841,47.43762553,10,HIGHLINE,3223049070,322304,9070,School-Alternative,1539
-122.1872759,47.43481835,75,6600552,767285,660,Benson Hill Elementary School,Benson Hill,18665 116th Ave SE,98058,-122.1872785,47.43481626,10,RENTON,3223059149,322305,9149,School-Elementary,3587
-122.3361045,47.75289797,76,6600328,139783,665,Shoreline Childrens Center,Shoreline Childrens Center,1900 N 170th St,98133,-122.3361056,47.75289623,10,SHORELINE,3073500050,307350,50,School-Other Facility,0
-122.3579205,47.56267961,77,2303,466180,664,Pathfinder K-8 School,Pathfinder,1901 SW Genesee St,98106,-122.3579225,47.56267782,10,SEATTLE,1324039116,132403,9116,School-Alternative,0
-122.0510483,47.76636401,78,6600205,21195,661,Timbercrest Jr High,Timbercrest,19115 215th Way NE,98077,-122.0510491,47.76636186,10,NORTHSHORE,426069010,42606,9010,School-Junior High/Middle,4516
-122.2457919,47.76781893,79,253,5930,660,Kenmore Elementary School,Kenmore,19121 71st Ave NE,98028,-122.2457929,47.76781706,10,NORTHSHORE,126049010,12604,9010,School-Elementary,2993
-122.3589217,47.63682709,80,1048,411652,661,Worth McClure Middle School,Worth McClure,1915 1st Ave W,98119,-122.3589233,47.63682533,10,SEATTLE,1794501220,179450,1220,School-Junior High/Middle,3517
-122.1163254,47.76756544,81,802,21188,661,Leota Jr High School,Leota,19301 168th Ave NE,98072,-122.1163263,47.76756339,10,NORTHSHORE,126059053,12605,9053,School-Junior High/Middle,3790
-122.3629909,47.76965908,82,1289,16144,661,Einstein Middle School,Einstein,19343 3rd Ave NW,98177,-122.362992,47.76965747,10,SHORELINE,126039050,12603,9050,School-Junior High/Middle,3674
-122.3541744,47.76942866,83,1142,154730,666,Kings Schools,Kings ,19351 Kings Garden Dr N,98133,-122.3541754,47.76942704,20,SHORELINE,626049016,62604,9016,School-K-12,0
-122.1827961,47.42831858,84,6600251,8588,660,Glenridge Elementary School,Glenridge,19405 120th Ave SE,98031,-122.1827987,47.42831648,10,KENT,7932000015,793200,15,School-Elementary,4489
-122.1977111,47.76965686,85,255,114,660,Maywood Hills Elementary School,Maywood Hills,19510 104th Ave NE,98011,-122.1977121,47.76965493,10,NORTHSHORE,526059178,52605,9178,School-Elementary,3344
-122.2023073,47.76967037,86,249,173414,660,Heritage Christian Academy,Heritage Christian,19527 104th Ave NE,98011,-122.2023083,47.76966845,20,NORTHSHORE,526059080,52605,9080,School-Elementary,0
-122.3727104,47.77180702,87,1301,16157,660,Syre Elementary School,Syre ,19545 12th Ave NW,98177,-122.3727115,47.77180545,10,SHORELINE,126039400,12603,9400,School-Elementary,3527
-122.0792411,47.35917813,88,6600485,172,661,Cedar Heights Middle School,Cedar Heights,19640 SE 272nd St  ,98042,-122.079244,47.35917579,10,KENT,2922069030,292206,9030,School-Junior High/Middle,4440
-122.152213,47.42574459,89,574,8587,660,Lake Youngs Elementary School,Lake Youngs,19660 142nd Ave SE,98042,-122.1522156,47.42574242,10,KENT,322059190,32205,9190,School-Elementary,3550
-122.224422,47.77078766,90,6600331,176176,664,Soreson Early Childhood Center,Soreson,19705 88th Ave NE ,98011,-122.224423,47.77078577,10,NORTHSHORE,626059101,62605,9101,School-Alternative,0
-122.1621808,47.77109053,91,808,83536,662,Woodinville High School,Woodinville,19819 136th Ave NE,98072,-122.1621817,47.77108856,10,NORTHSHORE,326059012,32605,9012,School-High,4208
-122.3270786,47.42479592,92,1215,389688,660,North Hill Elementary School,North Hill,19835 8th Ave S,98148,-122.3270813,47.42479409,10,HIGHLINE,522049087,52204,9087,School-Elementary,2983
-122.2222489,47.30818455,93,70,719556,660,Washington Elementary School,Washington,20 E St NE,98002,-122.2222521,47.30818254,10,AUBURN,1821059060,182105,9060,School-Elementary,2326
-122.2017937,47.48115807,94,6600704,585462,662,Renton Prep Christian School,Renton Prep,200 Mill Ave S,98057,-122.201796,47.48115601,20,RENTON,7200050,720,50,School-High,
-122.2084785,47.4211278,95,402,8589,660,Springbrook Elementary School,Springbrook,20035 100th Ave SE,98031,-122.2084811,47.42112576,10,KENT,622059059,62205,9059,School-Elementary,3677
-122.3517733,47.63293302,96,926,412420,660,John Hay Elementary School,John Hay,201 Garfield St,98109,-122.351775,47.63293125,10,SEATTLE,809000005,80900,5,School-Elementary,2063
-122.3388591,47.61996756,97,6600667,443299,661,Morningside Academy,Morningside,201 Westlake Ave N,98109,-122.3388608,47.61996576,20,SEATTLE,1986200085,198620,85,School-Junior High/Middle,0
-121.9731656,47.59121991,98,6600604,89021,660,Cascade Ridge Elementary School,Cascade Ridge,2020 Trossachs Blvd SE,98075,-121.9731672,47.59121742,10,ISSAQUAH,8691301385,869130,1385,School-Elementary,4565
-122.2930978,47.42013293,99,6600477,400964,660,Madrona Elementary School ,Madrona,20301 32nd Ave S,98198,-122.2931005,47.42013105,10,HIGHLINE,3445000085,344500,85,School-Elementary,3278
-122.070072,47.69400545,100,657,12144,664,The Overlake School,Overlake,20301 NE 108th St,98053,-122.0700732,47.69400321,20,LAKE WASHINGTON,1243100185,124310,185,School-Alternative,0
-122.2540211,47.77619486,101,1225,246640,661,Kenmore Jr High School,Kenmore Jr High,20323 66th Ave NE,98028,-122.2540222,47.77619304,10,NORTHSHORE,114100372,11410,372,School-Junior High/Middle,3345
-122.4598139,47.42159843,102,6600622,21173,665,Administration Center-Vashon Island,Admin,20414 Vashon Hwy SW,98070,-122.4598166,47.4215968,10,VASHON ISLAND,522039032,52203,9032,School-Other Facility,0
-121.9965771,47.21057018,103,291,201,660,Byron Kibler Elementary School,Byron Kibler,2057 Kibler Ave,98022,-121.9965796,47.21056836,10,ENUMCLAW,2320069002,232006,9002,School-Elementary,2980
-122.0637605,47.59470135,104,6600674,1010038,660,Creekside Elementary School,Creekside,20777 SE 16th St,98075,-122.0637622,47.59469903,10,ISSAQUAH,524069014,52406,9014,School-Elementary,5201
-122.3041498,47.59795629,105,1189,449912,661,Washington Middle School,Washington,2101 S Jackson St,98144,-122.3041516,47.59795443,10,SEATTLE,3646100540,364610,540,School-Junior High/Middle,4064
-122.3057839,47.38102994,106,1366,382434,660,Parkside Elementary School,Parkside,2104 S 247th St,98198,-122.3057868,47.38102809,10,HIGHLINE,2122049007,212204,9007,School-Elementary,3335
-122.2978952,47.31917033,107,6600681,979436,664,Federal Way Open Doors,Open Doors,31453 28th Ave S,98003,-122.2978984,47.31916848,10,FEDERAL WAY,921049054,92104,9054,School-Alternative,0
-122.0572625,47.33128121,108,2174,8613,662,Kentlake High School,Kentlake,21401 SE Falcon Way,98042,-122.0572657,47.33127883,10,KENT,421069087,42106,9087,School-High,4492
-122.3226847,47.40489471,109,1358,390877,660,Des Moines Elementary School,Des Moines,22001 9th Ave S,98198,-122.3226875,47.40489288,10,HIGHLINE,822049018,82204,9018,School-Elementary,2418
-122.0430492,47.74143553,110,798,568938,660,East Ridge Elementary School,East Ridge,22150 NE 156th Pl,98077,-122.0430502,47.74143329,10,NORTHSHORE,1626069002,162606,9002,School-Elementary,4379
-122.2877009,47.40013378,111,1360,12232,666,Kent Mountain View Academy,Mountain View,22420 Military Rd S,98198,-122.2877037,47.4001319,20,KENT,1522049125,152204,9125,School-K-12,0
-122.3034124,47.39990913,112,1362,390217,660,Midway Elementary School,Midway,22447 24th Ave S,98198,-122.3034151,47.39990727,10,HIGHLINE,1622049238,162204,9238,School-Elementary,2984
-122.3078508,47.39905629,113,1363,386713,662,Mount Rainier High School,Mount Rainier,22450 19th Ave S,98198,-122.3078536,47.39905444,10,HIGHLINE,1622049005,162204,9005,School-High,3279
-122.3287073,47.46615132,114,1212,755357,662,Highline High School,Highline,225 S 152nd St,98148,-122.3287097,47.46614948,10,HIGHLINE,2023049020,202304,9020,School-High,2325
-122.0515513,47.39827895,115,520,620598,660,Cedar River Elementary School,Cedar River,22615 Sweeney Rd SE,98038,-122.051554,47.39827654,10,TAHOMA,1622069134,162206,9134,School-Elementary,3937
-122.0471319,47.39890215,116,532,618725,660,Shadow Lake Elementary School,Shadow Lake ,22620 Sweeney Rd SE,98038,-122.0471346,47.39889973,10,TAHOMA,1622069009,162206,9009,School-Elementary,3589
-122.0353021,47.68493187,117,6600641,365780,660,Rosa Parks Elementary School,Rosa Parks,22845 NE Cedar Park Cres,98053,-122.0353034,47.68492957,10,LAKE WASHINGTON,7202310150,720231,150,School-Elementary,5053
-122.3313706,47.58046627,118,6600429,473560,665,John Stanford Center (Administration),John Stanford Center,230 S Lander St,98134,-122.3313725,47.58046445,10,SEATTLE,7666205235,766620,5235,School-Other Facility,0
-122.0338546,47.58923838,119,348,12219,660,Discovery Elementary School,Discovery,2300 228th Ave SE,98075,-122.0338563,47.58923599,10,ISSAQUAH,324069051,32406,9051,School-Elementary,4376
-122.1010767,47.38825787,120,529,8586,661,Maple View Middle School,Maple View Middle,18200 SE 240th ST,98042,-122.1010795,47.38825558,10,TAHOMA,1822069011,182206,9011,School-Junior High/Middle,0
-122.3491921,47.61228984,121,1490,837269,663,Art Institute of Seattle,Art Institute,2323 Elliott Ave,98121,-122.3491938,47.61228806,10,SEATTLE,6780950000,678095,0,School-College or University,0
-122.1803397,47.39120594,122,384,8581,661,Meridian Middle School,Meridian,23480 120th Ave SE,98031,-122.1803426,47.39120383,10,KENT,1622059032,162205,9032,School-Junior High/Middle,3233
-122.0255794,47.35160988,123,6600555,665240,660,Glacier Park Elementary School,Glacier Park,23700 SE 280th St,98038,-122.0255824,47.35160742,10,TAHOMA,3422069020,342206,9020,School-Elementary,4453
-122.0208944,47.62871949,124,648,12218,660,Christa McAuliffe Elementary School,Christa McAuliffe,23823 NE 22nd St,98074,-122.0208959,47.62871711,10,LAKE WASHINGTON,2725069102,272506,9102,School-Elementary,0
-122.3289095,47.67635371,125,845,12303,660,Green Lake Elementary School,Green Lake,2400 N 65th St,98103,-122.3289109,47.67635191,10,SEATTLE,9528104870,952810,4870,School-Elementary,2061
-122.3029803,47.73642516,126,1241,16168,666,Shoreline Christian School,Shoreline Christian,2400 NE 147th St,98155,-122.3029815,47.73642333,20,SHORELINE,1626049049,162604,9049,School-K-12,0
-122.3002203,47.38978048,127,1359,382215,663,Highline College,Highline College,2400 S 240th St,98198,-122.3002231,47.38977862,10,HIGHLINE,1622049016,162204,9016,School-College or University,0
-122.2998461,47.59095946,128,1169,452716,660,Thurgood Marshall Elementary School,Thurgood Marshall,2401 S Irving St,98144,-122.2998479,47.59095759,10,SEATTLE,9344400300,934440,300,School-Elementary,2141
-122.1986589,47.4578182,129,669,593856,661,Nelson Middle School,Nelson,2403 Jones Ave S,98055,-122.1986614,47.45781613,10,RENTON,2923059061,292305,9061,School-Junior High/Middle,0
-122.3014877,47.33256915,130,106,2365,660,Wildwood Elementary School,Wildwood,2405 S 300th St,98003,-122.3014909,47.3325673,10,FEDERAL WAY,421049167,42104,9167,School-Elementary,3583
-122.3042208,47.64063444,131,944,420683,660,Montlake Elementary School,Montlake,2409 22nd Ave E,98112,-122.3042224,47.64063259,10,SEATTLE,6788200735,678820,735,School-Elementary,2322
-122.3008674,47.60834969,132,2352,433942,664,Nova High School,Nova,2410 E Cherry St,98122,-122.3008691,47.60834783,10,SEATTLE,519000290,51900,290,School-Alternative,3868
-122.1913863,47.63214887,133,114,65,660,Bellevue Montessori School,Bellevue Montessori,2411 112th Ave NE,98004,-122.1913879,47.63214681,20,BELLEVUE,2025059182,202505,9182,School-Elementary,0
-122.0172627,47.61867019,134,652,12221,661,Inglewood Middle School,Inglewood,24120 NE 8th St,98074,-122.0172642,47.61866779,10,LAKE WASHINGTON,2725069065,272506,9065,School-Junior High/Middle,4386
-122.0470452,47.38386966,135,527,9261,660,Lake Wilderness Elementary School,Lake Wilderness,24216 Witte Rd SE,98038,-122.047048,47.38386724,10,TAHOMA,2122069054,212206,9054,School-Elementary,3286
-122.0151206,47.40760847,136,533,620377,660,Tahoma Elementary School,Tahoma Elementary,24425 SE 216th St,98038,-122.0151233,47.40760597,10,TAHOMA,1122069027,112206,9027,School-Elementary,3341
-122.3308452,47.58192371,137,6600703,765619,664,Skills Center High School,Skills Center,2445 3rd Ave S,98134,-122.3308471,47.58192189,10,SEATTLE,7666205235,766620,5235,School-Alternative,
-122.2821541,47.38054765,138,439,615649,660,Sunnycrest Elementary School,Sunnycrest,24629 42nd Ave S,98032,-122.282157,47.38054576,10,FEDERAL WAY,2222049146,222204,9146,School-Elementary,3567
-122.3241767,47.64228606,139,6600212,837474,664,TOPS K-8 School (The Option Program at Seward),TOPS,2500 Franklin Ave E,98102,-122.3241783,47.64228424,10,SEATTLE,1959700005,195970,5,School-Alternative,1579
-122.1659141,47.5142657,140,715,732782,660,Sierra Heights Elementary School,Sierra Heights,2501 Union Ave NE,98059,-122.1659163,47.51426355,10,RENTON,423059069,42305,9069,School-Elementary,3668
-122.0056916,47.5799029,141,2212,2412,661,Beaver Lake Middle School,Beaver Lake,25025 SE 32nd St,98029,-122.0056933,47.57990044,10,ISSAQUAH,1124069091,112406,9091,School-Junior High/Middle,4460
-122.3890095,47.68638547,142,1011,12292,660,Loyal Heights Elementary School,Loyal Heights,2511 NW 80th St,98117,-122.3890109,47.6863838,10,SEATTLE,4443801580,444380,1580,School-Elementary,0
-122.1035825,47.37585237,143,564,666111,660,Crestwood Elementary School,Crestwood,25225 180th Ave SE,98042,-122.1035854,47.37585008,10,KENT,2422059063,242205,9063,School-Elementary,4126
-122.300003,47.33571699,144,6600142,695180,666,Holy Innocents School of the Northwest,Holy Innocents,2530 S 298th St,98003,-122.3000061,47.33571514,20,FEDERAL WAY,7683800032,768380,32,School-K-12,0
