School Name,Location,School Year,Within District Boundary,Reported,Grade Levels,Total Enrollment,COMPLETE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Exempt DT,Exempt Pertussis,Exempt MMR,Exempt Polio,Exempt Hep B,Exempt Varicella,Location 1
MC DONALD ELEMENTARY,"4400 INTERLAKE AV N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,457,88.8,7.2,3.5,5.3,0,0,2.6,2.4,2.4,3.7,5.3,4.8,"4400 INTERLAKE AV N
SEATTLE
(47.656642, -122.340792)"
PATHFINDER K-8 SCHOOL,"1901 SW GENESEE ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -8,491,72.9,19.1,3.7,17.9,0.2,0,10.6,10.6,11.8,12.6,16.1,16.7,"1901 SW GENESEE ST
SEATTLE
(47.5626837, -122.3579696)"
CANYON PARK JR HIGH,"23723 23 AV SE, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,7-9,818,91.8,6.5,0.4,5.9,0.1,0.1,3.5,3.5,2.9,3.3,3.7,4.2,"23723 23 AV SE
BOTHELL
(47.7831954, -122.2016757)"
ST. CHRISTOPHER ACADEMY,"4141 41ST AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,9-12,0,,,,,,,,,,,,,"4141 41ST AVE SW
SEATTLE
(47.5662749, -122.3841632)"
ALBERT EINSTEIN MIDDLE SCHOOL,"19343 3RD AVENUE NW, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,7-8,724,92.7,6.8,1,5.8,0.1,0,2.1,1.5,3.3,2.9,2.9,4.8,"19343 3RD AVENUE NW
SHORELINE
(47.7692353, -122.3624126)"
HIGHLANDS ELEMENTARY SCHOOL,"2720 NE 7TH ST, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -5,578,94.5,2.4,0.3,1.4,0.9,0,1.7,1.7,2.1,1.9,1.7,2.1,"2720 NE 7TH ST
RENTON
(47.4948799, -122.182149)"
LAKE HILLS ELEMENTARY,"14310 SE 12TH STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,514,86.6,3.3,1,1.9,1,0,1.9,1.9,2.1,1.8,1.2,2.9,"14310 SE 12TH STREET
BELLEVUE
(47.602557, -122.1484754)"
SEATTLE CLASSICAL CHRISTIAN SCHOOL,"1013 8TH AVE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-4,85,70.6,29.4,5.9,23.5,0,0,9.4,9.4,14.1,12.9,16.5,20,"1013 8TH AVE
SEATTLE
(47.608091, -122.329381)"
BELLEVUE CHRISTIAN MACK ELEMENTARY,"18250 168TH PL NE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,P-6,193,90.2,9.3,2.1,7.3,0,0,5.7,5.7,6.7,6.7,6.7,6.7,"18250 168TH PL NE
WOODINVILLE
(47.7589451, -122.1138803)"
UNIVERSITY COOPERATIVE SCHOOL,"5601 UNIVERSITY AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-5,82,76.8,23.2,4.9,22,0,0,7.3,7.3,12.2,13.4,20.7,19.5,"5601 UNIVERSITY AVE NE
SEATTLE
(47.66932, -122.312937)"
ORCA K-8 SCHOOL,"5215 46 AVE S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -8,376,77.1,12.2,5.9,7.4,0,0,5.6,5.6,5.1,7.2,9.3,9,"5215 46 AVE S
SEATTLE
(47.5546949, -122.2762853)"
CEDAR RIVER MONTESSORI SCHOOL,"15828 SE JONES RD, RENTON, WA",2016-17,TAHOMA SCHOOL DISTRICT,Y,P-9,73,93.2,6.8,2.7,4.1,0,0,2.7,5.5,5.5,4.1,5.5,6.8,"15828 SE JONES RD
RENTON
(47.467124, -122.128274)"
THE EASTSIDE MONTESSORI SCHOOL,"1934 108TH AVE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-3,17,82.4,17.6,0,17.6,0,0,17.6,17.6,17.6,17.6,11.8,17.6,"1934 108TH AVE NE
BELLEVUE
(47.6278507, -122.1954816)"
KENTRIDGE HIGH SCHOOL,"12430 SE 208TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,9-12,2257,94.2,2,0.4,1.5,0,0,1,0.7,0.7,0.9,0.7,0.9,"12430 SE 208TH ST
KENT
(47.4168525, -122.1736378)"
INTERNATIONAL SCHOOL,"445 128TH AVE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,6-12,578,87.7,8.8,4.3,5.2,0.5,0,3.6,3.6,2.6,2.4,3.1,6.6,"445 128TH AVE SE
BELLEVUE
(47.604526, -122.172162)"
FRENCH IMMERSION SCHOOL OF WASHINGTON,"4211 W LAKE SAMMAMISH PKWY SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-5,109,87.2,12.8,12.8,0,0,0,4.6,4.6,4.6,5.5,2.8,11,"4211 W LAKE SAMMAMISH PKWY SE
BELLEVUE
(47.5698666, -122.101765)"
SUNSET ELEMENTARY,"4229 W LAKE SAMM PKWY SE, BELLEVUE, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,PK-5,642,94.1,4.2,1.6,2.6,0.2,0,1.2,1.6,2.2,1.6,2.5,2.5,"4229 W LAKE SAMM PKWY SE
BELLEVUE
(47.569099, -122.102449)"
RENAISSANCE SCHOOL,"4000 228TH NE, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,6-8,92,81.5,8.7,2.2,6.5,0,0,4.3,3.3,2.2,3.3,5.4,5.4,"4000 228TH NE
SAMMAMISH
(47.613601, -122.0317461)"
MONTESSORI CHILDREN'S HOUSE,"5003 218TH AVE NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,P-6,66,97,3,0,3,0,0,97,97,98.5,97,98.5,93.9,"5003 218TH AVE NE
REDMOND
(47.6534983, -122.0493895)"
SACAJAWEA MIDDLE SCHOOL,"1101 S DASH POINT RD, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-8,722,79.1,1.5,0.1,1,0.4,0,1.5,1.5,1.1,1.5,1.1,1.4,"1101 S DASH POINT RD
FEDERAL WAY
(47.3342157, -122.3181663)"
TILDEN SCHOOL,"4105 CALIFORNIA AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-5,97,100,0,0,0,0,0,0,0,0,0,0,0,"4105 CALIFORNIA AVE SW
SEATTLE
(47.5661634, -122.3871514)"
LYNNWOOD HIGH SCHOOL,"18218 NORTH RD, BOTHELL, WA",2016-17,EDMONDS SCHOOL DISTRICT,Y,9-12,1410,70.4,5.2,1.1,3.5,0.6,0,2.8,1.7,2.8,2.7,2.9,3,"18218 NORTH RD
BOTHELL
(47.8336468, -122.2397344)"
MCMICKEN HEIGHTS ELEMENTARY,"3708 S 168TH ST, SEATAC, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,561,100,0,0,0,0,0,0,0,0,0,0,0,"3708 S 168TH ST
SEATAC
(47.452934, -122.284698)"
SOUTH SHORE K-8 SCHOOL,"4800 S HENDERSON ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-7,611,86.7,5.4,3.8,2.3,0,0,1.3,1.3,1.5,2.5,2.6,4.1,"4800 S HENDERSON ST
SEATTLE
(47.5240525, -122.2718274)"
SIERRA HEIGHTS ELEMENTARY SCHOOL,"9901 132ND AVE SE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -5,614,96.1,3.3,0.3,2.4,0.5,0,2.3,2.1,2.3,2.3,1.3,2.8,"9901 132ND AVE SE
RENTON
(47.5177697, -122.1645308)"
CHAUTAUQUA ELEMENTARY,"9309 SW CEMETERY RD, VASHON, WA",2016-17,VASHON ISLAND SCHOOL DISTRICT,Y,PK-5,555,68.6,19.3,1.8,16.4,0.7,0.4,9.9,10.5,10.3,12.1,15.5,14.6,"9309 SW CEMETERY RD
VASHON
(47.4291997, -122.4525469)"
"TECHNOLOGY, ENGINEERING AND COMMUNICATIONS","830 SW 116TH ST, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,9-12,450,96,4,3.6,0.4,0,0,0.4,0.4,0.4,0.4,0.4,4,"830 SW 116TH ST
SEATTLE
(47.4996572, -122.3446813)"
LAKE WILDERNESS ELEMENTARY,"24216 WITTE ROAD SE, MAPLE VALLEY, WA",2016-17,TAHOMA SCHOOL DISTRICT,Y,PK-5,1093,96.2,3.5,0.2,3.2,0.1,0,2.1,2.1,2.6,2.5,2.5,2.9,"24216 WITTE ROAD SE
MAPLE VALLEY
(47.3849312, -122.0480429)"
SUNNY HILLS ELEMENTARY,"3200 ISSAQUAH-PINE LAKE RD SE, SAMMAMISH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,K -5,636,97,2.7,0.9,1.3,0.3,0.2,1.6,1.9,1.4,1.7,1.7,2,"3200 ISSAQUAH-PINE LAKE RD SE
SAMMAMISH
(47.5801324, -122.0280998)"
DARTMOOR SCHOOL--WOODINVILLE,"17305 139TH AVE NE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,1-12,2,100,0,0,0,0,0,0,0,0,0,0,0,"17305 139TH AVE NE
WOODINVILLE
(47.7527536, -122.1540459)"
GATEWOOD ELEMENTARY SCHOOL,"4320 SW MYRTLE ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,388,91,5.4,3.4,3.1,0,0,2.3,2.3,2.1,3.1,3.9,4.4,"4320 SW MYRTLE ST
SEATTLE
(47.54026, -122.389126)"
THE SAMMAMISH MONTESSORI SCHOOL,"7655 178TH PL NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,P-4,40,97.5,2.5,0,2.5,0,0,2.5,2.5,2.5,2.5,2.5,2.5,"7655 178TH PL NE
REDMOND
(47.6724075, -122.1014877)"
CATHARINE BLAINE K-8 SCHOOL,"2550 34 AV W, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -8,765,85.1,6.3,3,3.8,0,0.1,1.4,1.4,1.2,2.2,3.8,4.7,"2550 34 AV W
SEATTLE
(47.6428057, -122.3996966)"
RIDGECREST ELEMENTARY,"16516 10TH AVENUE NE, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,K -6,596,91.9,6.9,1,5.7,0.2,0,3.2,3.4,3.5,4.2,4.2,5,"16516 10TH AVENUE NE
SHORELINE
(47.74942, -122.31699)"
SEATTLE WALDORF SCHOOL - MEADOWBROOK,"2728 NE 100TH ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-12,356,42.1,40.4,3.7,36.5,0.3,0,21.6,21.1,26.1,30.9,34.8,32,"2728 NE 100TH ST
SEATTLE
(47.7016219, -122.2973358)"
BROADVIEW-THOMSON K-8 SCHOOL,"13052 GREENWOOD AV N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-8,611,85.9,5.1,1.6,3.4,0.3,0,2.8,2.8,3.3,2.8,2.9,4.6,"13052 GREENWOOD AV N
SEATTLE
(47.7247913, -122.3549098)"
HEALTH SCIENCES AND HUMAN SERVICES,"830 SW 116TH ST, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,9-12,396,93.4,6.6,6.6,0,0,0,0,0,0,0,0,6.6,"830 SW 116TH ST
SEATTLE
(47.4996572, -122.3446813)"
HOLY FAMILY PARISH SCHOOL,"7300 - 120TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,P-8,241,93.8,5,0,5,0,0,0.4,0.4,1.2,1.2,3.7,3.3,"7300 - 120TH AVE NE
KIRKLAND
(47.6700184, -122.1801608)"
THREE POINTS ELEMENTARY,"7800 NE 28TH ST, MEDINA, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-6,259,98.8,1.2,0,1.2,0,0,0.4,0,0.4,0.4,0.8,0.8,"7800 NE 28TH ST
MEDINA
(47.6357574, -122.2350868)"
WEST SEATTLE MONTESSORI SCHOOL,"11215 16TH AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,113,85.8,14.2,0.9,13.3,0,0,14.2,14.2,14.2,14.2,14.2,14.2,"11215 16TH AVE SW
SEATTLE
(47.5025105, -122.3551684)"
EAST HILL ELEMENTARY SCHOOL,"9825 S 240TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,556,91.4,2.2,0.7,1.4,0,0,1.8,1.8,1.8,2,1.3,2,"9825 S 240TH ST
KENT
(47.3861389, -122.209344)"
FEDERAL WAY PUBLIC ACADEMY,"34620 9TH AV S, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-10,312,65.4,6.7,0.6,5.4,0.6,0,4.2,4.2,3.2,3.2,2.6,3.5,"34620 9TH AV S
FEDERAL WAY
(47.2913078, -122.322111)"
CHIEF KANIM MIDDLE SCHOOL,"32627 REDMOND-FALL CITY RD SE, FALL CITY, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,6-8,773,90.7,6.6,0.3,6.5,0,0,4,3.9,4,3.5,3.8,4.9,"BOX 639
FALL CITY
(47.570217, -122.905254)"
LAKEVIEW ELEMENTARY,"10400 NE 68TH, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,559,85.3,5.2,2.7,2.5,0.2,0,2.1,2.1,2.9,3,3.2,3.6,"10400 NE 68TH
KIRKLAND
(47.668153, -122.2005456)"
PUGET SOUND HIGH SCHOOL,"18010 8TH AVE SOUTH, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,11-12,170,82.9,5.3,3.5,1.2,0.6,0,1.8,1.8,1.8,2.4,1.8,5.3,"18010 8TH AVE SOUTH
BURIEN
(47.441115, -122.322818)"
WOODMOOR ELEMENTARY,"12225 NE 160, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,806,89.1,7.2,1.5,5.6,0.2,0.4,4.7,4.7,5.6,5.2,5,6.2,"12225 NE 160
BOTHELL
(47.7412881, -122.1763186)"
SEATTLE WORLD SCHOOL,"301 21ST AVE E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-12,316,18,8.5,8.5,0,0,0,0.3,0.3,0.6,0,2.2,8.2,"301 21ST AVE E
SEATTLE
(47.6221945, -122.3053784)"
COUNTRYSIDE MONTESSORI SCHOOL,"13630 100TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,P-3,9,88.9,0,0,0,0,0,0,0,0,0,0,0,"13630 100TH AVE NE
KIRKLAND
(47.7223825, -122.2068696)"
NELSEN MIDDLE SCHOOL,"2403 JONES AVE S, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,6-8,997,90.8,5.6,1.3,4.1,0.4,0.3,3.8,3.6,2.7,2.5,2.4,3,"2403 JONES AVE S
RENTON
(47.4571097, -122.197923)"
TODD BEAMER HIGH SCHOOL,"35999 16TH AV S, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,9-12,1701,79.1,2.5,1,1.4,0.1,0.1,1.3,1.3,1.1,1.1,1.2,1.2,"35999 16TH AV S
FEDERAL WAY
(47.2778901, -122.3145)"
JANE ADDAMS K-8,"11051 34 AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -8,712,82.6,9,5.3,6.2,0,0.1,2.9,2.8,3.8,4.9,6.6,7.9,"11051 34 AVE NE
SEATTLE
(47.710453, -122.2932309)"
PINE TREE ELEMENTARY SCHOOL,"27825 118TH AVE SE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,417,88,6.2,1,4.8,0.7,0,4.6,4.6,4.8,4.8,4.1,5.5,"27825 118TH AVE SE
KENT
(47.351979, -122.185506)"
GRAHAM HILL ELEMENTARY SCHOOL,"5149 S GRAHAM ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,353,81.9,6.8,5.1,2.3,0.6,0.8,4,3.7,3.7,3.7,4.5,5.7,"5149 S GRAHAM ST
SEATTLE
(47.5458404, -122.2683764)"
TECHNOLOGY ACCESS FOUNDATION ACADEMY,"26630 40TH AVE S, KENT, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-12,309,86.7,2.6,0.3,2.3,0,0,1.9,1.9,1.3,1.6,1.3,1.6,"26630 40TH AVE S
KENT
(47.3622183, -122.2816115)"
MT BAKER MIDDLE SCHOOL,"620 37TH ST SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,6-8,999,84.9,2.2,0.4,1.7,0.4,0,1.2,1.1,0.7,0.8,0.9,1.3,"620 37TH ST SE
AUBURN
(47.2756285, -122.2200045)"
O'DEA HIGH SCHOOL,"802 TERRY AVE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,457,98.7,1.3,0.4,0.9,0.7,0,1.1,0.9,0.7,0.7,1.3,0.7,"802 TERRY AVE
SEATTLE
(47.6079298, -122.3247888)"
KIMBALL ELEMENTARY SCHOOL,"3200 23 AV S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,427,88.5,2.1,1.2,1.4,0.5,0,0.7,0.7,1.4,1.6,1.4,2.6,"3200 23 AV S
SEATTLE
(47.5742339, -122.3027748)"
CRYSTAL SPRINGS ELEMENTARY,"21615 9 AV SE, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,628,95.7,3.5,1.4,2.1,0,0,1.6,1.6,1.8,2.2,1.6,2.5,"21615 9 AV SE
BOTHELL
(47.8011518, -122.2204556)"
ST. BENEDICT SCHOOL,"4811 WALLINGFORD AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,185,96.2,3.8,1.1,2.7,0,0,1.1,1.1,3.2,3.8,3.2,3.2,"4811 WALLINGFORD AVE N
SEATTLE
(47.6639126, -122.336762)"
KENT MOUNTAIN VIEW ACADEMY,"22420 MILITARY RD S, DES MOINES, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -12,124,73.4,6.5,1.6,3.2,1.6,0,4.8,4.8,4,4.8,4,4.8,"22420 MILITARY RD S
DES MOINES
(47.4001007, -122.2901162)"
GREEN DOT DESTINY MIDDLE SCHOOL,"210 S. HUDSON STREET, SEATTLE, WA",2016-17,CHARTER,Y,6-8,260,89.2,0.4,0,0.4,0,0,0.4,0.4,0.4,0.4,0.4,0.4,"210 S. HUDSON STREET
SEATTLE
(47.557995, -122.331304)"
ACADEMY SCHOOLS / CHILDREN’S ACADEMY,"14601 INTERURBAN AVE S, TUKWILA, WA",2016-17,TUKWILA SCHOOL DISTRICT,Y,P-12,69,100,0,0,0,0,0,0,0,0,0,0,0,"14601 INTERURBAN AVE S
TUKWILA
(47.472444, -122.255825)"
INGRAHAM HIGH SCHOOL,"1819 N 135 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,1335,75.4,12.4,8.6,6.1,0.3,0,2.8,2.7,3.1,2.5,4.6,10.5,"1819 N 135 ST
SEATTLE
(47.7260638, -122.3379078)"
SEATTLE ACADEMY OF ARTS/SCIENCES,"1201 E UNION ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-12,789,98.1,1,0.4,0.6,0,0,0.5,0.5,0.5,0.5,0.6,0.6,"1201 E UNION ST
SEATTLE
(47.612666, -122.316396)"
OVERCOMER ACADEMY,"33415 MILITARY RD S, AUBURN, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,P-6,90,32.2,51.1,12.2,26.7,12.2,0,50,50,50,51.1,51.1,50,"33415 MILITARY RD S
AUBURN
(47.3011166, -122.2763197)"
OLYMPIC VIEW ELEMENTARY SCHOOL,"504 NE 95 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,490,91,4.9,1.6,4.1,0,0,2.9,2.9,2.9,3.3,3.5,3.7,"504 NE 95 ST
SEATTLE
(47.6982079, -122.3212309)"
